Partida Aduanera,Descripcion de la Partida Aduanera,Fecha,Qty,Und,U$ FAS Tot,U$ Flete & Seguro Tot,U$ CIF Tot,U$ FAS Und,U$ CIF Und,U$ (CIF + Imp) Und,Impuestos (%),Pais de Origen,Distrito de Descarga
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/10/2021,499.000,KG,7485.000,2500.000,9985.000,15.000,20.010,20.010,0.000,DOMINICAN REPUBLIC,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/10/2021,21.000,KG,5005.000,75.000,5080.000,238.333,241.904,241.904,0.000,SOUTH KOREA,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/11/2021,342.000,KG,5505.000,2500.000,8005.000,16.096,23.406,23.406,0.000,DOMINICAN REPUBLIC,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/11/2021,1000.000,KG,58000.000,500.000,58500.000,58.000,58.500,58.500,0.000,HONDURAS,SAVANNAH GA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/11/2021,1475.000,KG,29500.000,1691.000,31191.000,20.000,21.146,21.146,0.000,BELIZE,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/11/2021,300.000,KG,9000.000,766.000,9766.000,30.000,32.553,32.553,0.000,PERU,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/11/2021,1700.000,KG,46410.000,2500.000,48910.000,27.300,28.770,28.770,0.000,CHILE,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/12/2021,14324.000,KG,151235.000,2.000,151237.000,10.558,10.558,10.558,0.000,MEXICO,SAN DIEGO CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/12/2021,1750.000,KG,74850.000,1000.000,75850.000,42.771,43.342,43.342,0.000,HONDURAS,SAVANNAH GA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2022,3497.000,KG,36925.000,512.000,37437.000,10.559,10.705,10.705,0.000,ECUADOR,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2022,367.000,KG,5505.000,700.000,6205.000,15.000,16.907,16.907,0.000,DOMINICAN REPUBLIC,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2022,400.000,KG,16000.000,873.000,16873.000,40.000,42.182,42.182,0.000,NICARAGUA,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2022,711.000,KG,12083.000,1704.000,13787.000,16.994,19.390,19.390,0.000,HONDURAS,SAVANNAH GA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2022,1000.000,KG,57475.000,500.000,57975.000,57.475,57.975,57.975,0.000,HONDURAS,SAVANNAH GA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/01/2022,1000.000,KG,57275.000,1000.000,58275.000,57.275,58.275,58.275,0.000,HONDURAS,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/02/2022,251.000,KG,3765.000,700.000,4465.000,15.000,17.788,17.788,0.000,DOMINICAN REPUBLIC,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2022,264.000,KG,3960.000,1500.000,5460.000,15.000,20.681,20.681,0.000,DOMINICAN REPUBLIC,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2022,4555.000,KG,48090.000,3263.000,51353.000,10.557,11.273,11.273,0.000,TURKEY,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2022,1000.000,KG,57775.000,1000.000,58775.000,57.775,58.775,58.775,0.000,HONDURAS,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/03/2022,5162.000,KG,54500.000,8540.000,63040.000,10.557,12.212,12.212,0.000,HAITI,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/04/2022,1500.000,KG,10140.000,1500.000,11640.000,6.760,7.760,9.450,21.770,CHINA,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/04/2022,1293.000,KG,104330.000,16.000,104346.000,80.688,80.700,80.700,0.000,JAPAN,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/04/2022,655.000,KG,39435.000,400.000,39835.000,60.206,60.816,60.816,0.000,HONDURAS,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2022,2764.000,KG,29178.000,910.000,30088.000,10.556,10.885,10.885,0.000,ECUADOR,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2022,500.000,KG,27500.000,200.000,27700.000,55.000,55.400,55.400,0.000,HONDURAS,SAVANNAH GA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2022,800.000,KG,45800.000,1000.000,46800.000,57.250,58.500,58.500,0.000,HONDURAS,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2022,400.000,KG,32225.000,5000.000,37225.000,80.562,93.062,93.062,0.000,HAITI,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2022,277.000,KG,4155.000,500.000,4655.000,15.000,16.805,16.805,0.000,DOMINICAN REPUBLIC,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2022,130.000,KG,2080.000,800.000,2880.000,16.000,22.153,26.153,18.050,CHINA,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/05/2022,2557.000,KG,27000.000,853.000,27853.000,10.559,10.892,10.892,0.000,NICARAGUA,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/06/2022,500.000,KG,20000.000,1253.000,21253.000,40.000,42.506,42.506,0.000,NICARAGUA,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/06/2022,7840.000,KG,82775.000,100.000,82875.000,10.558,10.570,10.570,0.000,JAPAN,LOS ANGELES CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/06/2022,298.000,KG,8940.000,1500.000,10440.000,30.000,35.033,35.033,0.000,DOMINICAN REPUBLIC,MIAMI FLA.
